maisDe5,pulouIntro,pausas,madrugada,dispositivosDiferentes,entrouNoAppVariasVezes,inatividade,favoritou,falhasLogin,redePublica,sessoesCurtas,redesDiferentes,dormiu,engajado,suspeito,compartilhamento
1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0
0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1
1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0
1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0
1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1
0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1
0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1
1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0
0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0
0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1
0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1
1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0
0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0
1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1
0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1
1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0
1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1
1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0
0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0
0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0
0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0
0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0
1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0
1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0
0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0
0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0
1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0
1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0
1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0
0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0
0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0
0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0
0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0
1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1
1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0
1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0
0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1
1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1
1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0
1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0
0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0
0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0
0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1
0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1
0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0
1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1
1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0
0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1
1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0
1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1
0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0
0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1
1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0
0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1
1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1
0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0
0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0
0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0
0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1
0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0
1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1
0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0
1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1
0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1
0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0
1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1
0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1
0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0
1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0
1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1
0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0
1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0
1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0
0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0
0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1
0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0
1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0
1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0
1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0
1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0
1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0
1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1
1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0
1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0
1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1
0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1
0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1
0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0
1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0
1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0
0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1
1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0
0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0
0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0
1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1
0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1
1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0
1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
